gene
ETV1
ATP6V0B
RPL36
SPSB1
PLEKHG2
ATM
MEIS2
AUTS2
SLCO1A2
MYL12B
MMP7
FLNC
MAPKAPK3
SEPP1
SNTB1
LSM1
CORO1A
CHST3
HELLS
MPC2
SCD
TPM4
COX8A
HNRNPU
SPTBN2
ACADL
CD40LG
TM4SF1
CENPJ
ADAM9
HEBP1
IGFBP3
MFN2
ARL6IP1
SSRP1
ACAA2
CYP2C19
PPARD
COL2A1
THBD
DPEP3
THRB
MMP13
XPOT
SPRED2
F2RL2
ABCA5
RQCD1
LRPPRC
CCNB2
DCPS
RBPJ
BRF2
CDCA3
CRLF2
OAS3
DST
GPNMB
PAK3
CASP5
RPA2
CASP1
MSH6
TFF3
RAD23B
EXOC4
SPDEF
JAG1
GAB2
NDUFAF4
GSTT2
UFM1
ARTN
ATP2A1
CNOT3
DIO1
CMPK2
CR2
NELFCD
SOX9
KIF22
CD70
BCAR3
SLC39A8
PDPN
LDB3
GCK
NHP2
NUDT19
ADAMDEC1
ACTN3
CD37
AIM1
NXT1
ITGB8
DNAH5
ABCA3
TBC1D30
PTPN2
LRPAP1
THNSL2
LHX2
SLC11A2
GCA
CLDN19
ELMOD3
MAPRE3
PTGIR
SIT1
ME2
TRAF4
JAG2
BST2
ITIH4
CDC20
BACH1
SPEN
ANKZF1
TSPAN13
HDAC9
NPFFR2
CCR5
APOA4
CXXC1
ADH5
WARS
WRAP73
OSBP2
ARID1B
MPP1
METTL3
APOM
TIAL1
PTX3
TH
AMH
PDHA1
LEP
XPC
ZNF707
CDK1
ARPC2
TYK2
NPR2
NKX2-5
SEC11A
KEL
SLC27A2
SLC25A20
TAF12
KRT18
BCL11B
PREP
KHNYN
ELF1
TFAP2C
MYO1C
RBBP7
PWP1
RANBP9
PLVAP
RAB22A
PRMT3
ABCG2
HSPA2
IL13RA2
STMN1
SLC25A5
BCAN
FSTL3
CYP4A11
IFIH1
GMPPA
FETUB
DHX15
PPP2R4
DENND5A
ACTC1
KIF2C
VIM
MEN1
SIDT1
RAE1
DSC1
EZH2
IFT88
LDHC
CD3G
CAPN9
GBP2
EVI5
CTNND1
ARFGAP1
AMACR
NDUFS3
TYRO3
CLN5
TSHB
HRAS
STRN
CAPZB
RAPGEFL1
SPOP
SMC3
PTPRE
CAPG
LRMP
PPP1R15B
ETS1
SNAP91
MEF2D
UBA2
SCG5
DNAJC15
RAD52
NEK7
CLEC4A
ITSN1
ID1
TGIF2
CYP4F11
NDUFB4
GNAI3
ACTR3
EXOSC8
ASB7
FAM129A
SRSF6
DDX25
MCM2
PPP1R8
SDCCAG8
NFE2
NUDT15
TFB2M
HBB
ATP1B1
POLR2E
GRHPR
TNFAIP3
ABR
GPC1
PMPCA
PEX11B
SLC46A3
BAG3
WWP1
MAP2K4
SIGMAR1
LCT
DDX18
F10
MAST2
TOR1AIP2
PROM1
XPO7
ABCD3
SDC3
CLDN15
EDF1
SELE
TLR7
DECR1
FUCA1
MLLT10
TCF7L1
HSD17B14
ZFPM2
ORC5
PSMC3
STIP1
KIF5C
XIAP
BNIP3L
TRAIP
PSMA7
SHOX2
USP1
WWTR1
EFNA5
CELSR1
AKAP10
SLC4A4
BAX
FIS1
DNAJC1
ADCY1
RPA3
SLC38A3
PRPF3
DLC1
NIPBL
NCR1
NME1
VAMP7
PLG
ANG
GPR182
PLCG1
PINK1
LSP1
HLA-B
BUB1B
PDHB
VDAC2
HIST1H1C
LCLAT1
IFNL3
FOXA2
BPNT1
GALM
DMRT1
C8B
MYL6B
CFH
CDK5RAP2
LEPR
TNFRSF11B
SCUBE1
PEF1
ATP6V0C
HNRNPA1
AGL
RAP1GAP
MYLK
ETHE1
MYL4
AMOT
LTA4H
ACAT2
SCN10A
UBE2D3
LYSMD2
IL1R1
SORBS2
RTN3
DHRS7B
ATP5J
CLTB
MPZL1
NOL8
HBEGF
FKBP4
KIFC3
CCNO
YWHAH
FASLG
THEG
CYB5R1
LGMN
CALML5
CLIP2
SH3GL2
HIST1H2BK
GPS2
SELENBP1
ARHGAP27
SUN2
ANKH
TPST2
NUP98
ENG
BID
RRAGD
TMED10
PFN1
KIF5A
RABGAP1
POLR3G
EIF4E3
KPNB1
HOXC10
PVR
DEF6
BMP2K
ACOX1
TRIM33
CD69
IRS2
GAPDHS
PGR
EMP2
GOT2
ABCB6
NPY1R
MYD88
EGLN3
CRISP2
PGM1
SULT2B1
NDUFB7
PSPH
PTRH2
ATP5G1
SNRPA
NDUFA3
PTGS2
CCL22
SERINC1
CTTN
CD9
ADGRA2
KCNN1
MYF6
EPHX1
CD34
GADD45A
ERRFI1
RBSN
DPYSL2
SRSF2
Mar-06
CA2
CELF2
CAV1
KLF5
AEBP1
ZNF277
YBX2
SOD3
TNFSF15
KDM6B
SLC2A5
TXNRD1
SSPN
ASF1A
RAD50
BATF2
AKAP1
CPB1
PPM1D
ISL1
RFC4
ANK1
RPS9
GAD2
ERBB3
CD86
NPY5R
BCOR
GPX2
ARFGEF2
CDC7
DMD
TRIM58
PPP3R1
MTIF2
IL18BP
TUBB2A
ABCB11
POMC
DEGS1
FGFR1
BUB3
HPGD
TSPAN7
PVRL3
CYTH2
WNT5B
BCAP31
ARPC3
G6PC
PICK1
KCNMB1
RASAL2
ARID5B
LSM4
APOC1
ALAS1
SLC7A5
CENPA
AMPH
PGK1
ALYREF
B4GALNT2
JUN
CDK6
IFIT3
GNB2L1
CLDN6
HK2
CUL3
PRSS36
CPN1
SVIL
MVD
MPHOSPH10
TAP1
ATAD2
HMGB2
CREG1
AK4
SNX10
SDCBP
NCAM1
NTNG1
RYR2
ADD3
SLC6A14
HSPA13
RHCE
RHBDF2
POLR3C
CD8A
VCAN
SQRDL
TOP2A
GSTM3
UBE2C
KLK7
TRIM5
SFRP1
PHYH
PSMB8
HMGA1
RAPGEF5
ECI2
APC
SIAH2
HSPH1
CYFIP2
ALCAM
AARS
ARID4B
HBBP1
XRCC5
GPHN
PROK2
ABCG8
ASXL1
DBF4
WEE1
CDH3
GDA
LUC7L3
PGAM1
ACRV1
L3MBTL4
LRIG1
STARD3
MGMT
PDLIM3
IFITM2
FYN
WAS
PSMD12
FBLN2
CLDN4
MYBPC3
GMPR
STAB1
COQ5
HMOX1
CFD
TKFC
NEUROD1
UROD
ARHGAP4
ANXA5
TXNIP
YKT6
CASP4
PCBP1
SLC25A38
LYN
CEP131
PKHD1
